detector_id,location_name,detector_direction,created_date,modified_date,location_latitude,location_longitude,detector_type,detector_status,detector_movement,signal_id,atd_location_id
834,HOWARD LN / CENTER LINE PASS,Southbound,,2025-04-22T13:09:00Z,30.421793,-97.665825,Loop,Ok,THRU / RIGHT TURN,358,LOC16-001755
2801,MOPAC EXPY / LA CROSSE AVE,Northbound,2017-06-23T00:00:00Z,2022-07-12T12:07:00Z,30.190466,-97.873253,Loop,Removed,LEFT TURN,781,LOC16-003840
4596,LAKE CREEK PKWY / 183 HWY SVRD,Westbound,2017-06-16T00:00:00Z,2023-12-23T21:03:00Z,30.461414,-97.793556,Video,Ok,THRU / RIGHT TURN,603,LOC16-003010
4946,BULL CREEK RD / HANCOCK DR,Southbound,2017-06-15T00:00:00Z,2025-06-12T18:30:00Z,30.327637,-97.749146,Video,Removed,THRU / LEFT TURN,577,LOC16-002830
4400,LAKELINE MALL DR / PECAN PARK BLVD,Westbound,2017-06-16T00:00:00Z,2025-09-10T20:26:00Z,30.471979,-97.802078,Loop,Ok,LEFT TURN,608,LOC16-002985
5763,MENCHACA RD / SLAUGHTER LN,Eastbound,2017-09-11T00:00:00Z,2025-10-27T18:16:00Z,30.173737,-97.823731,Video,Ok,THRU / LEFT TURN,197,LOC16-000975
800,RUNDBERG LN / GEORGIAN DR,Eastbound,,2019-05-31T16:29:00Z,30.36083,-97.693405,Loop,Removed,THRU / RIGHT TURN,491,LOC16-002410
3005,LAKE AUSTIN BLVD / VETERANS DR,Northbound,2017-06-23T00:00:00Z,2025-04-24T22:36:00Z,30.277687,-97.771866,Video,Ok - Minor Issue,"LEFT TURN, THRU / RIGHT TURN",748,LOC16-003685
5700,38TH ST / GUADALUPE ST,Southbound,2017-09-11T00:00:00Z,2025-03-17T17:25:00Z,30.302742,-97.738144,Video,Removed,"LEFT TURN, THRU / RIGHT TURN",48,LOC16-000235
3683,FM 969 RD / ED BLUESTEIN BLVD SVRD (Martin Luther King Jr Blvd / US 183),Eastbound,2017-06-19T00:00:00Z,2020-06-23T20:30:00Z,30.285421,-97.664047,Loop,Removed,LEFT TURN,635,LOC16-003120
4474,DESSAU RD / BRAKER LN (Shropshire),Northbound,2017-06-16T00:00:00Z,2024-09-11T20:15:00Z,30.377291,-97.658661,Video,Ok,THRU / RIGHT TURN,260,LOC16-001265
4279,JOLLYVILLE RD / BALCONES WOODS DR,Westbound,2017-06-16T00:00:00Z,2019-06-18T14:59:00Z,30.407795,-97.747864,Loop,Removed,THRU / RIGHT TURN,611,LOC16-003000
3096,TECH RIDGE BLVD / CANYON RIDGE DR,Westbound,2017-06-23T00:00:00Z,2025-07-29T18:28:00Z,30.399052,-97.668854,Loop,Ok,THRU / RIGHT TURN,732,LOC16-003610
541,LAMAR BLVD / ST JOHNS AVE,Westbound,,2025-04-16T16:33:00Z,30.339407,-97.717842,Video,Removed,LEFT TURN,11,LOC16-000050
5083,BURLESON RD / MC KINNEY FALLS PKWY,Westbound,2017-06-15T00:00:00Z,2025-08-28T14:18:00Z,30.191999,-97.698387,Video,Broken,"LEFT TURN, THRU / RIGHT TURN",556,LOC16-002725
3800,ED BLUESTEIN BLVD / TECHNI CENTER DR,Eastbound,2017-06-16T00:00:00Z,2020-06-23T20:42:00Z,30.276051,-97.667915,Loop,Removed,THRU / RIGHT TURN,629,LOC16-003105
4772,AIRPORT BLVD / 45TH ST,Eastbound,2017-06-15T00:00:00Z,2024-07-23T21:36:00Z,30.303625,-97.715981,Loop,Removed,LEFT TURN,169,LOC16-000840
4586,LAKE CREEK PKWY / 183 HWY SVRD,Westbound,2017-06-16T00:00:00Z,2025-08-13T19:29:00Z,30.461142,-97.794586,Video,Ok,LEFT TURN,604,LOC16-003015
487,BURNET RD / RESEARCH BLVD SVRD,Eastbound,,2024-10-28T15:24:00Z,30.372885,-97.726479,Loop,Removed,LEFT TURN,615,LOC16-003045
2770,MOPAC EXPY / SLAUGHTER LN,Northbound,2017-06-23T00:00:00Z,2022-07-12T12:15:00Z,30.200567,-97.865456,Loop,Removed,THRU / RIGHT TURN,787,LOC16-003870
5747,LAMAR BLVD / 24TH ST,Westbound,2017-09-11T00:00:00Z,2023-12-22T14:58:00Z,30.288534,-97.75277,Video,Ok,"LEFT TURN, THRU / RIGHT TURN",108,LOC16-000535
